MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng
1073;07/08/1988;Đợt bí tích ngày 07 tháng 08 năm 1988;Đam. Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
1074;17/01/1988;Đợt bí tích ngày 17 tháng 01 năm 1988;;0;Phú Sơn;2018/10/05 01:43:01;1234
1075;06/11/1988;Đợt bí tích ngày 06 tháng 11 năm 1988;Anre Lê Trần Bảo;0;Kim Châu;2018/10/05 01:43:01;1234
1076;05/02/1988;Đợt bí tích ngày 05 tháng 02 năm 1988;;0;;2018/10/05 01:43:01;1234
1077;02/01/1988;Đợt bí tích ngày 02 tháng 01 năm 1988;Giuse Lê Vinh Hiến;0;Thanh Sơn;2018/10/05 01:43:01;1234
357;12/10/1967;Đợt bí tích ngày 12 tháng 10 năm 1967;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
358;04/06/1967;Đợt bí tích ngày 04 tháng 06 năm 1967;;0;Thái Hòa;2018/10/05 01:43:01;1234
359;20/02/1967;Đợt bí tích ngày 20 tháng 02 năm 1967;;0;Gx Hà Nội, Gp Xuân Lộc;2018/10/05 01:43:01;1234
360;09/06/1967;Đợt bí tích ngày 09 tháng 06 năm 1967;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
361;30/12/1967;Đợt bí tích ngày 30 tháng 12 năm 1967;;0;;2018/10/05 01:43:01;1234
362;14/09/1967;Đợt bí tích ngày 14 tháng 09 năm 1967;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
363;01/12/1967;Đợt bí tích ngày 01 tháng 12 năm 1967;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
364;07/12/1967;Đợt bí tích ngày 07 tháng 12 năm 1967;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
365;17/08/1967;Đợt bí tích ngày 17 tháng 08 năm 1967;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
366;23/10/1967;Đợt bí tích ngày 23 tháng 10 năm 1967;G B Ngô Văn Hảo;0;Nam Hưng;2018/10/05 01:43:01;1234
367;27/11/1967;Đợt bí tích ngày 27 tháng 11 năm 1967;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
368;26/05/1968;Đợt bí tích ngày 26 tháng 05 năm 1968;;0;Gx Tân Mỹ, Gp Thái Bình;2018/10/05 01:43:01;1234
369;22/10/1968;Đợt bí tích ngày 22 tháng 10 năm 1968;Lm Trần Đình Trọng;0;Gx Kim Bích;2018/10/05 01:43:01;1234
370;07/01/1968;Đợt bí tích ngày 07 tháng 01 năm 1968;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
371;02/03/1968;Đợt bí tích ngày 02 tháng 03 năm 1968;Lam Đaminh Nguyễn Đức Nghi;0;Gx Tân Bắc;2018/10/05 01:43:01;1234
372;12/09/1968;Đợt bí tích ngày 12 tháng 09 năm 1968;;0;Gx Chánh Tòa, Gp Xuân Lộc;2018/10/05 01:43:01;1234
373;02/12/1968;Đợt bí tích ngày 02 tháng 12 năm 1968;;0;Gx Ngọc Đồng;2018/10/05 01:43:01;1234
374;05/05/1968;Đợt bí tích ngày 05 tháng 05 năm 1968;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
375;06/07/1968;Đợt bí tích ngày 06 tháng 07 năm 1968;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
376;27/07/1968;Đợt bí tích ngày 27 tháng 07 năm 1968;;0;Tân Mai;2018/10/05 01:43:01;1234
377;02/09/1968;Đợt bí tích ngày 02 tháng 09 năm 1968;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
378;03/06/1968;Đợt bí tích ngày 03 tháng 06 năm 1968;;0;Sài Quất;2018/10/05 01:43:01;1234
379;27/05/1968;Đợt bí tích ngày 27 tháng 05 năm 1968;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
380;20/10/1968;Đợt bí tích ngày 20 tháng 10 năm 1968;Anton Cẩm;0;Thanh Hóa;2018/10/05 01:43:01;1234
405;06/11/1969;Đợt bí tích ngày 06 tháng 11 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
406;15/09/1969;Đợt bí tích ngày 15 tháng 09 năm 1969;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
407;16/12/1969;Đợt bí tích ngày 16 tháng 12 năm 1969;;0;;2018/10/05 01:43:01;1234
408;1969;Đợt bí tích năm 1969;;0;Bình Long;2018/10/05 01:43:01;1234
409;19/06/1969;Đợt bí tích ngày 19 tháng 06 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
410;24/02/1969;Đợt bí tích ngày 24 tháng 02 năm 1969;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
411;15/03/1969;Đợt bí tích ngày 15 tháng 03 năm 1969;;0;Tây Ninh;2018/10/05 01:43:01;1234
412;15/09/1969;Đợt bí tích ngày 15 tháng 09 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
413;13/07/1969;Đợt bí tích ngày 13 tháng 07 năm 1969;;0;Thái Hòa;2018/10/05 01:43:01;1234
414;29/05/1969;Đợt bí tích ngày 29 tháng 05 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
415;27/02/1969;Đợt bí tích ngày 27 tháng 02 năm 1969;;0;;2018/10/05 01:43:01;1234
416;26/06/1969;Đợt bí tích ngày 26 tháng 06 năm 1969;;0;Phương Lâm;2018/10/05 01:43:01;1234
417;03/01/1969;Đợt bí tích ngày 03 tháng 01 năm 1969;;0;Gx Ngọc Đồng;2018/10/05 01:43:01;1234
418;29/12/1969;Đợt bí tích ngày 29 tháng 12 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
419;26/04/1969;Đợt bí tích ngày 26 tháng 04 năm 1969;;0;Võ Dõng;2018/10/05 01:43:01;1234
420;10/08/1969;Đợt bí tích ngày 10 tháng 08 năm 1969;Gioan Trịnh Xuân Thu;0;Phục Lễ;2018/10/05 01:43:01;1234
421;24/09/1969;Đợt bí tích ngày 24 tháng 09 năm 1969;;0;Bùi Thái;2018/10/05 01:43:01;1234
422;08/02/1969;Đợt bí tích ngày 08 tháng 02 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
423;26/05/1969;Đợt bí tích ngày 26 tháng 05 năm 1969;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
424;29/05/1969;Đợt bí tích ngày 29 tháng 05 năm 1969;Lm. Đaminh Hoàng Văn Tiên;0;Ngô Xá;2018/10/05 01:43:01;1234
425;30/01/1969;Đợt bí tích ngày 30 tháng 01 năm 1969;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
426;11/12/1969;Đợt bí tích ngày 11 tháng 12 năm 1969;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
427;29/03/1970;Đợt bí tích ngày 29 tháng 03 năm 1970;;0;Gx Phương Xá;2018/10/05 01:43:01;1234
428;13/07/1970;Đợt bí tích ngày 13 tháng 07 năm 1970;;0;Gx Russeykeo;2018/10/05 01:43:01;1234
429;15/06/1970;Đợt bí tích ngày 15 tháng 06 năm 1970;;0;Ngọc Đồng;2018/10/05 01:43:01;1234
455;26/05/1971;Đợt bí tích ngày 26 tháng 05 năm 1971;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
456;05/12/1971;Đợt bí tích ngày 05 tháng 12 năm 1971;Lm Đaminh Trần Xuân Thảo;0;Gx Thái Hiệp;2018/10/05 01:43:01;1234
457;1971;Đợt bí tích năm 1971;Lm Micae Trịnh Quốc Bảo;0;Gx Bình Thái;2018/10/05 01:43:01;1234
458;01/12/1971;Đợt bí tích ngày 01 tháng 12 năm 1971;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
459;15/08/1971;Đợt bí tích ngày 15 tháng 08 năm 1971;;0;Trà Cổ 2;2018/10/05 01:43:01;1234
460;08/11/1971;Đợt bí tích ngày 08 tháng 11 năm 1971;;0;Phú Thạnh;2018/10/05 01:43:01;1234
461;30/08/1971;Đợt bí tích ngày 30 tháng 08 năm 1971;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
462;11/06/1971;Đợt bí tích ngày 11 tháng 06 năm 1971;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
463;12/09/1971;Đợt bí tích ngày 12 tháng 09 năm 1971;;0;Ngô Xá;2018/10/05 01:43:01;1234
464;27/08/1971;Đợt bí tích ngày 27 tháng 08 năm 1971;Fxd9inh Quốc Thụy;0;Ngũ Phúc;2018/10/05 01:43:01;1234
465;19/08/1971;Đợt bí tích ngày 19 tháng 08 năm 1971;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
466;29/07/1971;Đợt bí tích ngày 29 tháng 07 năm 1971;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
467;19/07/1971;Đợt bí tích ngày 19 tháng 07 năm 1971;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
468;05/04/1971;Đợt bí tích ngày 05 tháng 04 năm 1971;G.b. Nguyễn Đức Nhuận;0;Nam Hải;2018/10/05 01:43:01;1234
469;22/04/1971;Đợt bí tích ngày 22 tháng 04 năm 1971;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
470;01/07/1971;Đợt bí tích ngày 01 tháng 07 năm 1971;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
471;12/07/1971;Đợt bí tích ngày 12 tháng 07 năm 1971;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
472;09/08/1971;Đợt bí tích ngày 09 tháng 08 năm 1971;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
473;27/03/1971;Đợt bí tích ngày 27 tháng 03 năm 1971;Giuse Phạm Quang Đoan;0;Tân Mai;2018/10/05 01:43:01;1234
474;12/09/1971;Đợt bí tích ngày 12 tháng 09 năm 1971;Phê-rô Hiếu;0;Ngọc Đồng;2018/10/05 01:43:01;1234
475;1971;Đợt bí tích năm 1971;;0;Lộ Đức;2018/10/05 01:43:01;1234
476;08/07/1971;Đợt bí tích ngày 08 tháng 07 năm 1971;;0;Tân Mai;2018/10/05 01:43:01;1234
477;28/07/1971;Đợt bí tích ngày 28 tháng 07 năm 1971;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
478;12/09/1971;Đợt bí tích ngày 12 tháng 09 năm 1971;Phero Nguyễn Quang Hiến;0;Ngọc Đồng;2018/10/05 01:43:01;1234
479;22/11/1971;Đợt bí tích ngày 22 tháng 11 năm 1971;;0;Mẫu Tâm;2018/10/05 01:43:01;1234
505;17/07/1972;Đợt bí tích ngày 17 tháng 07 năm 1972;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
506;10/12/1972;Đợt bí tích ngày 10 tháng 12 năm 1972;;0;Võ Dõng;2018/10/05 01:43:01;1234
507;01/05/1972;Đợt bí tích ngày 01 tháng 05 năm 1972;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
508;11/09/1972;Đợt bí tích ngày 11 tháng 09 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
509;23/09/1972;Đợt bí tích ngày 23 tháng 09 năm 1972;;0;Hóc Môn;2018/10/05 01:43:01;1234
510;16/10/1972;Đợt bí tích ngày 16 tháng 10 năm 1972;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
511;12/06/1972;Đợt bí tích ngày 12 tháng 06 năm 1972;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
512;04/06/1972;Đợt bí tích ngày 04 tháng 06 năm 1972;;0;Lộc Lâm;2018/10/05 01:43:01;1234
513;13/03/1972;Đợt bí tích ngày 13 tháng 03 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
514;31/01/1972;Đợt bí tích ngày 31 tháng 01 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
515;02/04/1972;Đợt bí tích ngày 02 tháng 04 năm 1972;;0;;2018/10/05 01:43:01;1234
516;07/02/1972;Đợt bí tích ngày 07 tháng 02 năm 1972;Phero Nguyễn Khang Hy;0;Tân Mai 2;2018/10/05 01:43:01;1234
517;14/02/1972;Đợt bí tích ngày 14 tháng 02 năm 1972;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
518;02/06/1972;Đợt bí tích ngày 02 tháng 06 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
519;27/04/1972;Đợt bí tích ngày 27 tháng 04 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
520;13/08/1972;Đợt bí tích ngày 13 tháng 08 năm 1972;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
521;17/01/1972;Đợt bí tích ngày 17 tháng 01 năm 1972;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
522;22/10/1972;Đợt bí tích ngày 22 tháng 10 năm 1972;;0;Gx Hà Nội;2018/10/05 01:43:01;1234
523;05/03/1972;Đợt bí tích ngày 05 tháng 03 năm 1972;;0;Bình Lộc;2018/10/05 01:43:01;1234
524;16/01/1972;Đợt bí tích ngày 16 tháng 01 năm 1972;;0;Gx Thái Bình, Tgp Sài Gòn;2018/10/05 01:43:01;1234
525;06/08/1972;Đợt bí tích ngày 06 tháng 08 năm 1972;Đaminh Đặng Duy Hòa;0;Đông Vinh;2018/10/05 01:43:01;1234
526;02/09/1973;Đợt bí tích ngày 02 tháng 09 năm 1973;;0;Gx Ngọc Đồng;2018/10/05 01:43:01;1234
527;25/03/1973;Đợt bí tích ngày 25 tháng 03 năm 1973;Lm Phêrô Vũ Hữu Tự;0;Gx Bình Thái;2018/10/05 01:43:01;1234
528;18/04/1973;Đợt bí tích ngày 18 tháng 04 năm 1973;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
555;02/07/1973;Đợt bí tích ngày 02 tháng 07 năm 1973;;0;Sài Gòn;2018/10/05 01:43:01;1234
556;24/06/1973;Đợt bí tích ngày 24 tháng 06 năm 1973;;0;;2018/10/05 01:43:01;1234
557;15/01/1973;Đợt bí tích ngày 15 tháng 01 năm 1973;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
558;27/08/1973;Đợt bí tích ngày 27 tháng 08 năm 1973;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
559;27/08/1973;Đợt bí tích ngày 27 tháng 08 năm 1973;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
560;02/12/1973;Đợt bí tích ngày 02 tháng 12 năm 1973;;0;Tân Phước;2018/10/05 01:43:01;1234
561;13/12/1974;Đợt bí tích ngày 13 tháng 12 năm 1974;;0;;2018/10/05 01:43:01;1234
562;08/12/1974;Đợt bí tích ngày 08 tháng 12 năm 1974;;0;Gx Kẻ Sặt;2018/10/05 01:43:01;1234
563;1974;Đợt bí tích năm 1974;;0;Gx Lai Ổn;2018/10/05 01:43:01;1234
564;03/03/1974;Đợt bí tích ngày 03 tháng 03 năm 1974;;0;Gx Kẻ Sặt;2018/10/05 01:43:01;1234
565;15/02/1974;Đợt bí tích ngày 15 tháng 02 năm 1974;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
566;08/07/1974;Đợt bí tích ngày 08 tháng 07 năm 1974;;0;;2018/10/05 01:43:01;1234
567;28/01/1974;Đợt bí tích ngày 28 tháng 01 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
568;27/04/1974;Đợt bí tích ngày 27 tháng 04 năm 1974;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
569;19/05/1974;Đợt bí tích ngày 19 tháng 05 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
570;06/10/1974;Đợt bí tích ngày 06 tháng 10 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
571;17/11/1974;Đợt bí tích ngày 17 tháng 11 năm 1974;;0;Bùi Thái;2018/10/05 01:43:01;1234
572;01/11/1974;Đợt bí tích ngày 01 tháng 11 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
573;17/02/1974;Đợt bí tích ngày 17 tháng 02 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
574;15/12/1974;Đợt bí tích ngày 15 tháng 12 năm 1974;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
575;31/12/1974;Đợt bí tích ngày 31 tháng 12 năm 1974;Phê-rô Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
576;14/04/1974;Đợt bí tích ngày 14 tháng 04 năm 1974;Đinh Ngọc Quế;0;Thủ Đô;2018/10/05 01:43:01;1234
577;17/06/1974;Đợt bí tích ngày 17 tháng 06 năm 1974;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
578;20/12/1974;Đợt bí tích ngày 20 tháng 12 năm 1974;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
579;06/10/1974;Đợt bí tích ngày 06 tháng 10 năm 1974;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
604;12/01/1975;Đợt bí tích ngày 12 tháng 01 năm 1975;Lm Giuse Đoàn Huy Chương;0;Nhà Thờ Quân Đội Đồng Tâm;2018/10/05 01:43:01;1234
605;30/11/1975;Đợt bí tích ngày 30 tháng 11 năm 1975;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
606;27/02/1975;Đợt bí tích ngày 27 tháng 02 năm 1975;Ambrosio Đỡ Bích Ngô;0;Sư Đoàn 2;2018/10/05 01:43:01;1234
607;27/02/1975;Đợt bí tích ngày 27 tháng 02 năm 1975;Ambrosio Đỗ Bích Ngô;0;Sư Đoàn 2;2018/10/05 01:43:01;1234
608;13/12/1975;Đợt bí tích ngày 13 tháng 12 năm 1975;;0;Bắc Hải;2018/10/05 01:43:01;1234
609;27/07/1975;Đợt bí tích ngày 27 tháng 07 năm 1975;Vinh Sơn Trần Văn Hòa;0;Gia Định;2018/10/05 01:43:01;1234
610;06/09/1975;Đợt bí tích ngày 06 tháng 09 năm 1975;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
611;02/08/1975;Đợt bí tích ngày 02 tháng 08 năm 1975;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
612;05/10/1975;Đợt bí tích ngày 05 tháng 10 năm 1975;;0;;2018/10/05 01:43:01;1234
613;26/04/1975;Đợt bí tích ngày 26 tháng 04 năm 1975;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
614;06/04/1975;Đợt bí tích ngày 06 tháng 04 năm 1975;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
615;06/04/1975;Đợt bí tích ngày 06 tháng 04 năm 1975;Gioan Nguyễn Bá Tước;0;;2018/10/05 01:43:01;1234
616;28/12/1975;Đợt bí tích ngày 28 tháng 12 năm 1975;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
617;02/02/1975;Đợt bí tích ngày 02 tháng 02 năm 1975;;0;Gx Nghĩa Sơn;2018/10/05 01:43:01;1234
618;05/07/1975;Đợt bí tích ngày 05 tháng 07 năm 1975;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
619;31/10/1975;Đợt bí tích ngày 31 tháng 10 năm 1975;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
620;02/08/1975;Đợt bí tích ngày 02 tháng 08 năm 1975;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
621;27/04/1975;Đợt bí tích ngày 27 tháng 04 năm 1975;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
622;30/05/1976;Đợt bí tích ngày 30 tháng 05 năm 1976;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
623;23/11/1976;Đợt bí tích ngày 23 tháng 11 năm 1976;;0;Hảo Nho;2018/10/05 01:43:01;1234
624;07/11/1976;Đợt bí tích ngày 07 tháng 11 năm 1976;;0;;2018/10/05 01:43:01;1234
625;22/08/1976;Đợt bí tích ngày 22 tháng 08 năm 1976;Lm Gioakim Đặng Văn Phán;0;Gx Hải Châu;2018/10/05 01:43:01;1234
626;30/10/1976;Đợt bí tích ngày 30 tháng 10 năm 1976;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
627;04/07/1976;Đợt bí tích ngày 04 tháng 07 năm 1976;;0;Đà Lạt;2018/10/05 01:43:01;1234
628;01/08/1976;Đợt bí tích ngày 01 tháng 08 năm 1976;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
629;18/05/1976;Đợt bí tích ngày 18 tháng 05 năm 1976;;0;Gx Vân Am;2018/10/05 01:43:01;1234
630;17/08/1976;Đợt bí tích ngày 17 tháng 08 năm 1976;;0;Ngọc Đồng;2018/10/05 01:43:01;1234
631;28/02/1976;Đợt bí tích ngày 28 tháng 02 năm 1976;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
632;29/02/1976;Đợt bí tích ngày 29 tháng 02 năm 1976;Phê-rô Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
633;28/03/1976;Đợt bí tích ngày 28 tháng 03 năm 1976;Phê-rô Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
634;29/02/1976;Đợt bí tích ngày 29 tháng 02 năm 1976;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
635;12/01/1976;Đợt bí tích ngày 12 tháng 01 năm 1976;;0;Bắc Hải;2018/10/05 01:43:01;1234
636;27/06/1976;Đợt bí tích ngày 27 tháng 06 năm 1976;;0;;2018/10/05 01:43:01;1234
637;04/11/1976;Đợt bí tích ngày 04 tháng 11 năm 1976;;0;Ngô Xá;2018/10/05 01:43:01;1234
638;30/10/1976;Đợt bí tích ngày 30 tháng 10 năm 1976;Hylario Nguyễn Công Minh;0;Chân Phúc Khang;2018/10/05 01:43:01;1234
639;06/06/1976;Đợt bí tích ngày 06 tháng 06 năm 1976;;0;Lai Ổn;2018/10/05 01:43:01;1234
640;30/10/1976;Đợt bí tích ngày 30 tháng 10 năm 1976;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
641;28/03/1976;Đợt bí tích ngày 28 tháng 03 năm 1976;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
642;1976;Đợt bí tích năm 1976;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
643;25/01/1976;Đợt bí tích ngày 25 tháng 01 năm 1976;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
644;31/10/1976;Đợt bí tích ngày 31 tháng 10 năm 1976;;0;Hà Nội;2018/10/05 01:43:01;1234
645;30/05/1976;Đợt bí tích ngày 30 tháng 05 năm 1976;Đam Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
646;28/11/1976;Đợt bí tích ngày 28 tháng 11 năm 1976;Phero Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
647;10/04/1976;Đợt bí tích ngày 10 tháng 04 năm 1976;;0;Bắc Xuyên;2018/10/05 01:43:01;1234
648;02/05/1976;Đợt bí tích ngày 02 tháng 05 năm 1976;;0;;2018/10/05 01:43:01;1234
649;04/07/1976;Đợt bí tích ngày 04 tháng 07 năm 1976;Đaminh Đặng Duy Hòa;0;Đông Vinh;2018/10/05 01:43:01;1234
650;30/10/1976;Đợt bí tích ngày 30 tháng 10 năm 1976;Đaminh Phạm Hữu Tư;0;;2018/10/05 01:43:01;1234
651;27/06/1976;Đợt bí tích ngày 27 tháng 06 năm 1976;Phê-rô Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
652;07/03/1976;Đợt bí tích ngày 07 tháng 03 năm 1976;;0;Gx Kẻ Sặt;2018/10/05 01:43:01;1234
653;04/12/1977;Đợt bí tích ngày 04 tháng 12 năm 1977;;0;Ngọc Đồng;2018/10/05 01:43:01;1234
654;01/07/1977;Đợt bí tích ngày 01 tháng 07 năm 1977;;0;Gx Bắc Hải;2018/10/05 01:43:01;1234
655;13/08/1977;Đợt bí tích ngày 13 tháng 08 năm 1977;;0;An Lãng;2018/10/05 01:43:01;1234
656;02/10/1977;Đợt bí tích ngày 02 tháng 10 năm 1977;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
657;10/12/1977;Đợt bí tích ngày 10 tháng 12 năm 1977;;0;Sở Kiện;2018/10/05 01:43:01;1234
658;20/11/1977;Đợt bí tích ngày 20 tháng 11 năm 1977;;0;Tân Định;2018/10/05 01:43:01;1234
659;28/10/1977;Đợt bí tích ngày 28 tháng 10 năm 1977;;0;Tân Bắc;2018/10/05 01:43:01;1234
660;30/01/1977;Đợt bí tích ngày 30 tháng 01 năm 1977;;0;;2018/10/05 01:43:01;1234
661;03/07/1977;Đợt bí tích ngày 03 tháng 07 năm 1977;Phe-rô Trần Đình Tứ;0;Ngũ Phúc;2018/10/05 01:43:01;1234
662;06/11/1977;Đợt bí tích ngày 06 tháng 11 năm 1977;Đaminh Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
663;22/05/1977;Đợt bí tích ngày 22 tháng 05 năm 1977;Đam Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
664;02/07/1977;Đợt bí tích ngày 02 tháng 07 năm 1977;;0;Mẫu Tâm;2018/10/05 01:43:01;1234
665;25/12/1977;Đợt bí tích ngày 25 tháng 12 năm 1977;Đam Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
666;07/08/1977;Đợt bí tích ngày 07 tháng 08 năm 1977;Đaminh Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
667;30/08/1977;Đợt bí tích ngày 30 tháng 08 năm 1977;;0;Gx Tiên Chu;2018/10/05 01:43:01;1234
668;12/10/1977;Đợt bí tích ngày 12 tháng 10 năm 1977;;0;Phục Lễ;2018/10/05 01:43:01;1234
669;04/09/1977;Đợt bí tích ngày 04 tháng 09 năm 1977;Đaminh Nguyễn Văn Tòng;0;Ngũ Phúc;2018/10/05 01:43:01;1234
